Fréquence (Hz)	Niveau (dB)
14513.378906	-73.192093
14556.445313	-74.192436
14599.511719	-74.211205
14642.578125	-74.210571
14685.644531	-73.103500
14728.710938	-74.973145
14771.777344	-74.146286
14814.843750	-73.858368
14857.910156	-74.349991
14900.976563	-73.623177
14944.042969	-75.542152
14987.109375	-74.364845
15030.175781	-73.625397
15073.242188	-74.721893
15116.308594	-74.747192
15159.375000	-73.425903
15202.441406	-73.612206
15245.507813	-73.104980
15288.574219	-75.468811
15331.640625	-72.520721
15374.707031	-74.320976
15417.773438	-75.117004
15460.839844	-74.572197
15503.906250	-74.117310
15546.972656	-72.853371
15590.039063	-73.997627
15633.105469	-73.896133
15676.171875	-74.405952
15719.238281	-75.377556
15762.304688	-73.389977
15805.371094	-74.065109
15848.437500	-73.898102
15891.503906	-73.860893
15934.570313	-73.773300
15977.636719	-74.726295
16020.703125	-74.446449
16063.769531	-73.930046
16106.835938	-75.340393
16149.902344	-74.853981
16192.968750	-74.322655
16236.035156	-74.758545
16279.101563	-75.128143
16322.167969	-74.571892
16365.234375	-75.164070
16408.300781	-74.991333
16451.367188	-74.462654
16494.433594	-75.000542
16537.500000	-75.168327
16580.566406	-74.728905
16623.632813	-73.294670
16666.699219	-73.875771
16709.765625	-75.236206
16752.832031	-75.041039
16795.898438	-74.486298
16838.964844	-75.422127
16882.031250	-74.519638
16925.097656	-73.724106
16968.164063	-74.612045
17011.230469	-74.036995
17054.296875	-74.372292
17097.363281	-74.762375
17140.429688	-75.645493
17183.496094	-74.229454
17226.562500	-73.677002
17269.628906	-74.353004
17312.695313	-73.813385
17355.761719	-73.832001
17398.828125	-74.759224
17441.894531	-74.480301
17484.960938	-73.750580
17528.027344	-75.377884
17571.093750	-74.804314
17614.160156	-73.692589
17657.226563	-73.216354
17700.292969	-74.449020
17743.359375	-74.957291
17786.425781	-74.484077
17829.492188	-75.424759
17872.558594	-74.408737
17915.625000	-73.670219
17958.691406	-74.403282
18001.757813	-75.493988
18044.824219	-74.649872
18087.890625	-75.464386
18130.957031	-74.985229
18174.023438	-73.637474
18217.089844	-73.359077
18260.156250	-74.358398
18303.222656	-74.851715
18346.289063	-74.006775
18389.355469	-76.612099
18432.421875	-74.237755
18475.488281	-74.168701
18518.554688	-74.371536
18561.621094	-73.867744
18604.687500	-73.716347
18647.753906	-74.962021
18690.820313	-74.492569
18733.886719	-73.443695
18776.953125	-74.464951
18820.019531	-75.663689
18863.085938	-76.068947
18906.152344	-76.451805
18949.218750	-75.712219
18992.285156	-73.390541
19035.351563	-75.731445
19078.417969	-74.322128
19121.484375	-75.509689
19164.550781	-74.555542
19207.617188	-75.639519
19250.683594	-74.480606
19293.750000	-75.211639
19336.816406	-75.029167
19379.882813	-73.921860
19422.949219	-74.804810
19466.015625	-75.044731
19509.082031	-75.042473
19552.148438	-74.289116
19595.214844	-74.563171
19638.281250	-74.943405
19681.347656	-74.524063
19724.414063	-74.951302
19767.480469	-75.307327
19810.546875	-74.903313
19853.613281	-74.785500
19896.679688	-75.458099
19939.746094	-74.859558
19982.812500	-73.813728
20025.878906	-75.578026
20068.945313	-75.896599
20112.011719	-75.038017
20155.078125	-74.208801
20198.144531	-74.747398
20241.210938	-73.444046
20284.277344	-74.705429
20327.343750	-76.241119
20370.410156	-73.922264
20413.476563	-75.528618
20456.542969	-75.526398
20499.609375	-74.935860
20542.675781	-74.221832
20585.742188	-74.954948
20628.808594	-75.071312
20671.875000	-74.749771
20714.941406	-74.716057
20758.007813	-75.027435
20801.074219	-75.324364
20844.140625	-76.718018
20887.207031	-75.390450
20930.273438	-75.110153
20973.339844	-75.771690
21016.406250	-76.359818
21059.472656	-75.496719
21102.539063	-76.099716
21145.605469	-75.853134
21188.671875	-75.481110
21231.738281	-75.681770
21274.804688	-76.163528
21317.871094	-74.889931
21360.937500	-75.377380
21404.003906	-75.741104
21447.070313	-75.856415
21490.136719	-75.636047
21533.203125	-76.171890
21576.269531	-75.807770
21619.335938	-76.049835
21662.402344	-75.918602
21705.468750	-76.149384
21748.535156	-75.862885
21791.601563	-76.153770
21834.667969	-75.741982
21877.734375	-75.958771
21920.800781	-76.024200
21963.867188	-75.946533
22006.933594	-75.794296
