Fréquence (Hz)	Niveau (dB)
14599.511719	-74.999901
14642.578125	-74.131165
14685.644531	-74.114227
14728.710938	-75.087555
14771.777344	-74.653809
14814.843750	-74.912392
14857.910156	-74.542671
14900.976563	-75.216507
14944.042969	-74.514786
14987.109375	-75.733635
15030.175781	-74.339523
15073.242188	-73.507767
15116.308594	-74.021896
15159.375000	-75.855255
15202.441406	-74.856483
15245.507813	-75.019318
15288.574219	-75.216568
15331.640625	-75.268570
15374.707031	-75.531113
15417.773438	-74.855003
15460.839844	-75.093948
15503.906250	-75.017838
15546.972656	-73.747330
15590.039063	-74.008987
15633.105469	-73.259445
15676.171875	-73.678772
15719.238281	-75.009338
15762.304688	-75.663826
15805.371094	-74.788361
15848.437500	-74.608032
15891.503906	-76.098305
15934.570313	-74.714073
15977.636719	-74.776772
16020.703125	-73.880119
16063.769531	-74.806892
16106.835938	-74.491348
16149.902344	-73.643654
16192.968750	-75.354553
16236.035156	-77.540718
16279.101563	-75.643715
16322.167969	-75.605949
16365.234375	-75.752007
16408.300781	-74.664459
16451.367188	-75.136406
16494.433594	-74.350159
16537.500000	-74.273705
16580.566406	-76.040871
16623.632813	-75.123222
16666.699219	-74.666229
16709.765625	-74.730995
16752.832031	-74.078293
16795.898438	-75.617119
16838.964844	-75.520493
16882.031250	-75.136826
16925.097656	-75.837715
16968.164063	-75.938240
17011.230469	-76.304047
17054.296875	-74.817574
17097.363281	-76.853111
17140.429688	-74.595299
17183.496094	-75.093437
17226.562500	-73.482536
17269.628906	-75.694473
17312.695313	-75.859459
17355.761719	-74.723358
17398.828125	-75.608101
17441.894531	-74.189537
17484.960938	-73.546860
17528.027344	-75.582916
17571.093750	-75.462639
17614.160156	-76.214844
17657.226563	-75.723839
17700.292969	-76.245338
17743.359375	-76.010788
17786.425781	-75.728981
17829.492188	-75.520874
17872.558594	-74.597321
17915.625000	-76.550301
17958.691406	-75.861763
18001.757813	-75.904289
18044.824219	-75.359482
18087.890625	-75.389763
18130.957031	-75.152771
18174.023438	-76.652672
18217.089844	-75.959396
18260.156250	-75.825699
18303.222656	-75.888924
18346.289063	-75.014603
18389.355469	-75.236053
18432.421875	-75.973640
18475.488281	-76.099670
18518.554688	-75.733719
18561.621094	-75.284554
18604.687500	-74.630630
18647.753906	-74.582153
18690.820313	-75.619843
18733.886719	-78.031380
18776.953125	-76.053619
18820.019531	-75.180756
18863.085938	-74.654266
18906.152344	-75.359161
18949.218750	-76.533272
18992.285156	-76.207420
19035.351563	-76.382408
19078.417969	-75.685143
19121.484375	-76.210587
19164.550781	-76.314651
19207.617188	-76.613678
19250.683594	-75.235992
19293.750000	-74.910469
19336.816406	-76.862694
19379.882813	-75.449554
19422.949219	-75.286911
19466.015625	-74.832100
19509.082031	-75.542679
19552.148438	-74.693169
19595.214844	-74.515724
19638.281250	-74.768219
19681.347656	-76.070595
19724.414063	-76.857109
19767.480469	-74.788712
19810.546875	-76.487335
19853.613281	-77.830856
19896.679688	-75.891869
19939.746094	-76.135498
19982.812500	-75.127220
20025.878906	-75.670837
20068.945313	-76.915092
20112.011719	-76.514763
20155.078125	-75.790634
20198.144531	-76.203011
20241.210938	-75.599281
20284.277344	-74.739998
20327.343750	-76.054619
20370.410156	-75.574661
20413.476563	-74.946945
20456.542969	-76.183044
20499.609375	-76.090729
20542.675781	-76.921143
20585.742188	-76.955200
20628.808594	-75.085175
20671.875000	-75.518929
20714.941406	-74.822273
20758.007813	-76.324738
20801.074219	-75.251762
20844.140625	-76.237358
20887.207031	-76.256012
20930.273438	-76.681343
20973.339844	-75.965775
21016.406250	-76.124893
21059.472656	-76.664452
21102.539063	-76.671371
21145.605469	-75.911499
21188.671875	-76.042168
21231.738281	-76.186943
21274.804688	-76.481865
21317.871094	-76.117485
21360.937500	-76.491028
21404.003906	-76.423050
21447.070313	-76.680687
21490.136719	-76.887184
21533.203125	-76.609528
21576.269531	-76.118195
21619.335938	-76.808311
21662.402344	-76.534256
21705.468750	-76.589203
21748.535156	-76.644112
21791.601563	-76.895432
21834.667969	-76.623505
21877.734375	-76.368721
21920.800781	-76.466164
21963.867188	-76.602562
22006.933594	-76.369003
