Fréquence (Hz)	Niveau (dB)
14039.648438	-64.424957
14082.714844	-64.443077
14125.781250	-64.239655
14168.847656	-64.397041
14211.914063	-64.703949
14254.980469	-64.410065
14298.046875	-64.958176
14341.113281	-64.635399
14384.179688	-64.721512
14427.246094	-64.791283
14470.312500	-64.698013
14513.378906	-64.640198
14556.445313	-64.671585
14599.511719	-64.642357
14642.578125	-64.690491
14685.644531	-64.871506
14728.710938	-64.854607
14771.777344	-64.881500
14814.843750	-65.163460
14857.910156	-64.918587
14900.976563	-64.921654
14944.042969	-65.022484
14987.109375	-64.760574
15030.175781	-64.943321
15073.242188	-64.831360
15116.308594	-64.861732
15159.375000	-64.826927
15202.441406	-64.923279
15245.507813	-64.889465
15288.574219	-64.480453
15331.640625	-64.814804
15374.707031	-64.547829
15417.773438	-64.885063
15460.839844	-64.918198
15503.906250	-64.628502
15546.972656	-65.272018
15590.039063	-65.297905
15633.105469	-65.028519
15676.171875	-65.268158
15719.238281	-64.931618
15762.304688	-65.223717
15805.371094	-65.422234
15848.437500	-64.713074
15891.503906	-65.157639
15934.570313	-65.193039
15977.636719	-64.811325
16020.703125	-64.787216
16063.769531	-64.952736
16106.835938	-65.299706
16149.902344	-65.069656
16192.968750	-65.058380
16236.035156	-65.147903
16279.101563	-65.287033
16322.167969	-65.029350
16365.234375	-64.863739
16408.300781	-65.031212
16451.367188	-65.046509
16494.433594	-65.607635
16537.500000	-65.568436
16580.566406	-65.507294
16623.632813	-65.434204
16666.699219	-65.470604
16709.765625	-65.337387
16752.832031	-65.316246
16795.898438	-65.419243
16838.964844	-65.267715
16882.031250	-65.630058
16925.097656	-65.103729
16968.164063	-65.139038
17011.230469	-65.232567
17054.296875	-64.992027
17097.363281	-65.643517
17140.429688	-65.551071
17183.496094	-65.604179
17226.562500	-65.573494
17269.628906	-65.286621
17312.695313	-65.589317
17355.761719	-65.810410
17398.828125	-65.330688
17441.894531	-65.540413
17484.960938	-65.706909
17528.027344	-65.102646
17571.093750	-65.404533
17614.160156	-65.513084
17657.226563	-65.900658
17700.292969	-65.693466
17743.359375	-65.835609
17786.425781	-65.766586
17829.492188	-65.617378
17872.558594	-65.762978
17915.625000	-65.395714
17958.691406	-65.541435
18001.757813	-65.603210
18044.824219	-65.693512
18087.890625	-65.665070
18130.957031	-65.867630
18174.023438	-65.468300
18217.089844	-65.833130
18260.156250	-65.543541
18303.222656	-66.057785
18346.289063	-65.665253
18389.355469	-65.395187
18432.421875	-65.576271
18475.488281	-65.503265
18518.554688	-65.568954
18561.621094	-65.903641
18604.687500	-65.799469
18647.753906	-65.752228
18690.820313	-65.542770
18733.886719	-65.386948
18776.953125	-66.010422
18820.019531	-66.060043
18863.085938	-65.546089
18906.152344	-65.766640
18949.218750	-65.488449
18992.285156	-65.710251
19035.351563	-65.830719
19078.417969	-65.894760
19121.484375	-66.232765
19164.550781	-65.764801
19207.617188	-65.632187
19250.683594	-65.460785
19293.750000	-65.545891
19336.816406	-65.710602
19379.882813	-66.066750
19422.949219	-65.578087
19466.015625	-65.952766
19509.082031	-65.953613
19552.148438	-65.805450
19595.214844	-65.684090
19638.281250	-65.719131
19681.347656	-65.759689
19724.414063	-65.877510
19767.480469	-65.678154
19810.546875	-66.167007
19853.613281	-66.007828
19896.679688	-65.593987
19939.746094	-66.044594
19982.812500	-65.727432
20025.878906	-65.531876
20068.945313	-65.585396
20112.011719	-65.666214
20155.078125	-65.783836
20198.144531	-66.058868
20241.210938	-65.966423
20284.277344	-65.971825
20327.343750	-66.012642
20370.410156	-65.919945
20413.476563	-65.688210
20456.542969	-65.795036
20499.609375	-65.885025
20542.675781	-66.121788
20585.742188	-65.866920
20628.808594	-65.909775
20671.875000	-65.716568
20714.941406	-65.917610
20758.007813	-66.471321
20801.074219	-66.019768
20844.140625	-66.044937
20887.207031	-66.040016
20930.273438	-65.913437
20973.339844	-66.029839
21016.406250	-66.084091
21059.472656	-66.162331
21102.539063	-66.352577
21145.605469	-66.241722
21188.671875	-65.965889
21231.738281	-66.013161
