Fréquence (Hz)	Niveau (dB)
19078.417969	-76.406631
19121.484375	-74.469002
19164.550781	-73.575752
19207.617188	-75.511093
19250.683594	-75.321892
19293.750000	-75.569061
19336.816406	-76.004341
19379.882813	-76.039238
19422.949219	-76.130600
19466.015625	-76.289436
19509.082031	-74.870415
19552.148438	-75.047935
19595.214844	-75.956345
19638.281250	-74.984795
19681.347656	-76.120209
19724.414063	-74.966599
19767.480469	-75.901375
19810.546875	-74.490295
19853.613281	-76.036201
19896.679688	-76.632927
19939.746094	-77.232010
19982.812500	-74.544174
20025.878906	-75.520187
20068.945313	-76.793854
20112.011719	-75.872162
20155.078125	-75.176437
20198.144531	-76.590714
20241.210938	-75.562904
20284.277344	-75.860489
20327.343750	-75.601974
20370.410156	-75.314987
20413.476563	-76.059242
20456.542969	-75.217628
20499.609375	-76.000786
20542.675781	-75.922607
20585.742188	-77.271606
20628.808594	-77.141205
20671.875000	-76.154846
20714.941406	-75.934013
20758.007813	-75.769646
20801.074219	-77.129715
20844.140625	-77.084053
20887.207031	-75.985291
20930.273438	-75.999092
20973.339844	-76.295715
21016.406250	-75.727898
21059.472656	-76.779671
21102.539063	-77.293900
21145.605469	-76.161003
21188.671875	-76.503357
21231.738281	-76.964592
21274.804688	-76.804489
21317.871094	-76.394409
21360.937500	-76.884842
21404.003906	-77.273201
21447.070313	-76.737541
21490.136719	-76.291115
21533.203125	-76.802345
21576.269531	-76.810745
21619.335938	-76.956062
21662.402344	-77.413635
21705.468750	-76.641090
21748.535156	-76.887512
21791.601563	-76.961563
21834.667969	-76.852020
21877.734375	-76.724434
21920.800781	-76.928871
21963.867188	-77.009651
22006.933594	-76.912331
